cty,top_industry,industry_naics_code,top_industry_employment
20049,Retail Trade,44,37
20051,Health care & social assistance,62,3008
20053,Health care & social assistance,62,433
20055,Manufacturing,31,3753
20057,Manufacturing,31,5008
20059,Retail Trade,44,1247
20061,Retail Trade,44,1247
20063,Health care & social assistance,62,257
20065,Health care & social assistance,62,256
20067,Retail Trade,44,341
20069,Construction,23,188
20071,Retail Trade,44,82
20073,Health care & social assistance,62,314
20075,Wholesale trade,42,175
20077,Health care & social assistance,62,292
20079,Manufacturing,31,3199
20081,Wholesale trade,42,176
20083,Retail Trade,44,52
20085,Retail Trade,44,554
20087,Construction,23,658
20089,Retail Trade,44,107
20091,Retail Trade,44,37694
20093,Retail Trade,44,59
20095,Health care & social assistance,62,426
20097,Health care & social assistance,62,234
20099,Manufacturing,31,2317
20101,Wholesale trade,42,76
20103,Health care & social assistance,62,2991
20105,Health care & social assistance,62,179
20107,Retail Trade,44,214
20109,Retail Trade,44,140
20111,Manufacturing,31,5341
20113,Manufacturing,31,3858
20115,Health care & social assistance,62,746
20117,Manufacturing,31,909
20119,Retail Trade,44,190
20121,Health care & social assistance,62,1688
20123,Health care & social assistance,62,511
20125,Manufacturing,31,4943
20127,Manufacturing,31,220
20129,Wholesale trade,42,134
20131,Manufacturing,31,1054
20133,Manufacturing,31,1893
20135,Health care & social assistance,62,255
20137,Health care & social assistance,62,402
20139,Health care & social assistance,62,1359
20141,Health care & social assistance,62,260
20143,Health care & social assistance,62,208
20145,Health care & social assistance,62,877
20147,Health care & social assistance,62,286
20149,Health care & social assistance,62,1221
20151,Health care & social assistance,62,630
20153,Health care & social assistance,62,154
20155,Manufacturing,31,4993
20157,Manufacturing,31,531
20159,Manufacturing,31,376
20161,Retail Trade,44,3570
20163,Manufacturing,31,324
20165,Manufacturing,31,196
20167,Retail Trade,44,319
20169,Manufacturing,31,5793
20171,Health care & social assistance,62,281
20173,Manufacturing,31,64008
20175,Retail Trade,44,1586
20177,Health care & social assistance,62,16628
20179,Health care & social assistance,62,147
20181,Retail Trade,44,523
20183,Health care & social assistance,62,203
20185,Health care & social assistance,62,156
20187,Wholesale trade,42,109
20189,Health care & social assistance,62,234
20191,Manufacturing,31,1122
20193,Accommodation & foodservices,72,554
20195,Retail Trade,44,120
20197,Retail Trade,44,168
20199,Wholesale trade,42,84
20201,Health care & social assistance,62,384
20203,Retail Trade,44,103
20205,Manufacturing,31,1460
20207,Health care & social assistance,62,146
20209,Manufacturing,31,13495
20999,Administrative & support & waste management & remediation serv,56,2866
21001,Health care & social assistance,62,1189
21003,Manufacturing,31,1724
21005,Manufacturing,31,1395
21007,Manufacturing,31,730
21009,Manufacturing,31,4805
21011,Manufacturing,31,470
21013,Retail Trade,44,1862
21015,Manufacturing,31,9746
21017,Manufacturing,31,1337
21019,Health care & social assistance,62,5276
21021,Manufacturing,31,4761
21023,Administrative & support & waste management & remediation serv,56,212
21025,Health care & social assistance,62,807
21027,Retail Trade,44,548
21029,Manufacturing,31,3321
21031,Manufacturing,31,1545
21033,Manufacturing,31,768
21035,Manufacturing,31,2939
21037,Retail Trade,44,4574
21039,Retail Trade,44,136
21041,Manufacturing,31,2595
21043,Retail Trade,44,1063
21045,Manufacturing,31,568
21047,Manufacturing,31,5473
21049,Manufacturing,31,4450
21051,Health care & social assistance,62,805
21053,Manufacturing,31,2415
21055,Health care & social assistance,62,443
21057,Health care & social assistance,62,445
21059,Manufacturing,31,6891
21061,Health care & social assistance,62,235
21063,Health care & social assistance,62,104
21065,Retail Trade,44,409
21067,Health care & social assistance,62,25126
21069,Health care & social assistance,62,650
21071,Health care & social assistance,62,1930
21073,Manufacturing,31,3155
21075,Manufacturing,31,1114
21077,Health care & social assistance,62,176
21079,Construction,23,405
21081,Retail Trade,44,1198
21083,Manufacturing,31,3021
21085,Manufacturing,31,2922
21087,Health care & social assistance,62,520
21089,Accommodation & foodservices,72,994
21091,Manufacturing,31,2335
21093,Health care & social assistance,62,7076
21095,Health care & social assistance,62,1217
21097,Manufacturing,31,1575
21099,Manufacturing,31,796
21101,Manufacturing,31,8040
21103,Manufacturing,31,761
21105,Manufacturing,31,469
21107,Health care & social assistance,62,3211
21109,Manufacturing,31,966
21111,Health care & social assistance,62,53884
21113,Manufacturing,31,2484
21115,Retail Trade,44,1410
21117,Transportation & Warehousing,48,8227
21119,Mining,21,873
21121,Health care & social assistance,62,1334
21123,Manufacturing,31,671
21125,Manufacturing,31,3351
21127,Retail Trade,44,515
21129,Health care & social assistance,62,751
21131,Health care & social assistance,62,409
21133,Mining,21,1276
21135,Manufacturing,31,242
21137,Manufacturing,31,738
21139,Mining,21,323
21141,Manufacturing,31,3802
21143,Retail Trade,44,355
21145,Retail Trade,44,6526
21147,Manufacturing,31,452
21149,Retail Trade,44,254
21151,Manufacturing,31,6128
21153,Health care & social assistance,62,342
21155,Manufacturing,31,2224
21157,Manufacturing,31,2535
21159,Mining,21,713
21161,Manufacturing,31,2621
21163,Retail Trade,44,696
21165,Manufacturing,31,234
21167,Manufacturing,31,2532
21169,Manufacturing,31,1687
21171,Manufacturing,31,1064
21173,Manufacturing,31,2790
21175,Retail Trade,44,387
21177,Retail Trade,44,1335
21179,Manufacturing,31,3330
21181,Health care & social assistance,62,293
21183,Manufacturing,31,1583
21185,Retail Trade,44,1370
21187,Health care & social assistance,62,261
21189,Health care & social assistance,62,161
21191,Manufacturing,31,556
21193,Health care & social assistance,62,2215
21195,Retail Trade,44,4272
21197,Manufacturing,31,1017
21199,Manufacturing,31,3997
21201,Other services (except public administration),81,7
21203,Health care & social assistance,62,652
21205,Health care & social assistance,62,1653
21207,Manufacturing,31,1307
21209,Manufacturing,31,9864
21211,Manufacturing,31,4847
21213,Manufacturing,31,3471
21215,Construction,23,246
21217,Retail Trade,44,2914
21219,Manufacturing,31,1329
21221,Manufacturing,31,1350
21223,Health care & social assistance,62,126
21225,Retail Trade,44,1289
21227,Manufacturing,31,8030
21229,Manufacturing,31,944
21231,Manufacturing,31,1803
21233,Manufacturing,31,647
21235,Health care & social assistance,62,2634
21237,Health care & social assistance,62,197
21239,Manufacturing,31,3061
21999,Administrative & support & waste management & remediation serv,56,705
22001,Retail Trade,44,2415
22003,Retail Trade,44,672
22005,Manufacturing,31,5809
22007,Retail Trade,44,643
22009,Accommodation & foodservices,72,2156
22011,Retail Trade,44,1229
22013,Manufacturing,31,1281
22015,Accommodation & foodservices,72,7549
22017,Health care & social assistance,62,20878
22019,Retail Trade,44,10246
22021,Health care & social assistance,62,531
22023,Transportation & Warehousing,48,546
22025,Retail Trade,44,419
22027,Health care & social assistance,62,458
22029,Retail Trade,44,719
22031,Manufacturing,31,1076
22033,Construction,23,35698
22035,Health care & social assistance,62,214
22037,Health care & social assistance,62,1830
22039,Health care & social assistance,62,1991
22041,Retail Trade,44,1003
22043,Manufacturing,31,453
22045,Retail Trade,44,3813
22047,Manufacturing,31,3669
22049,Retail Trade,44,576
22051,Retail Trade,44,32443
22053,Retail Trade,44,1332
22055,Health care & social assistance,62,15572
22057,Retail Trade,44,4332
22059,Health care & social assistance,62,663
22061,Health care & social assistance,62,2391
22063,Retail Trade,44,2829
22065,Health care & social assistance,62,688
22067,Health care & social assistance,62,1373
22069,Manufacturing,31,2697
22071,Accommodation & foodservices,72,35890
22073,Health care & social assistance,62,10030
22075,Manufacturing,31,1963
22077,Retail Trade,44,900
22079,Health care & social assistance,62,11696
22081,Manufacturing,31,440
22083,Health care & social assistance,62,1504
22085,Manufacturing,31,865
22087,Retail Trade,44,2881
22089,Manufacturing,31,5148
22091,Manufacturing,31,164
22093,Manufacturing,31,2265
22095,Manufacturing,31,2321
22097,Health care & social assistance,62,3956
22099,Manufacturing,31,1834
22101,Manufacturing,31,4412
22103,Retail Trade,44,11025
22105,Retail Trade,44,5882
22107,Health care & social assistance,62,114
22109,Retail Trade,44,6927
22111,Health care & social assistance,62,682
22113,Retail Trade,44,2209
22115,Health care & social assistance,62,1742
22117,Manufacturing,31,1652
22119,Manufacturing,31,2294
22121,Manufacturing,31,2473
22123,Health care & social assistance,62,530
22125,Retail Trade,44,244
22127,Manufacturing,31,942
22999,Mining,21,15230
23001,Manufacturing,31,7675
23003,Health care & social assistance,62,6016
23005,Health care & social assistance,62,24547
23007,Manufacturing,31,2279
23009,Retail Trade,44,3154
23011,Health care & social assistance,62,10078
23013,Health care & social assistance,62,2648
23015,Retail Trade,44,1739
23017,Manufacturing,31,4007
23019,Health care & social assistance,62,12560
23021,Manufacturing,31,1292
23023,Retail Trade,44,1250
23025,Manufacturing,31,4152
23027,Health care & social assistance,62,1626
23029,Health care & social assistance,62,1827
23031,Manufacturing,31,12433
24001,Health care & social assistance,62,5453
24003,Retail Trade,44,30001
24005,Retail Trade,44,49877
24009,Health care & social assistance,62,2683
24011,Manufacturing,31,1814
24013,Retail Trade,44,7177
24015,Manufacturing,31,4002
24017,Retail Trade,44,8650
24019,Manufacturing,31,3362
24021,Retail Trade,44,11658
24023,Retail Trade,44,1718
24025,Retail Trade,44,10768
24027,"Professional, scientific, & technical services",54,24839
24029,Health care & social assistance,62,1267
24031,"Professional, scientific, & technical services",54,67690
24033,Retail Trade,44,37941
24035,Retail Trade,44,1935
24037,"Professional, scientific, & technical services",54,6336
24039,Health care & social assistance,62,768
24041,Health care & social assistance,62,2940
24043,Manufacturing,31,9665
24045,Health care & social assistance,62,6717
24047,Accommodation & foodservices,72,5418
24510,Health care & social assistance,62,60872
24999,Administrative & support & waste management & remediation serv,56,4737
25001,Retail Trade,44,14586
25003,Health care & social assistance,62,10120
25005,Manufacturing,31,44066
25007,Retail Trade,44,1062
25009,Manufacturing,31,56055
25011,Manufacturing,31,7712
25013,Health care & social assistance,62,34302
25015,Educational services,61,8449
25017,Manufacturing,31,118115
25019,Accommodation & foodservices,72,761
25021,Health care & social assistance,62,44975
25023,Retail Trade,44,26268
25025,Health care & social assistance,62,99369
25027,Health care & social assistance,62,52786
25999,Mining,21,0
25999,Utilities,22,0
25999,Construction,23,0
25999,Wholesale trade,42,0
25999,Retail Trade,44,0
25999,Information,51,0
25999,Finance & insurance,52,0
25999,"Professional, scientific, & technical services",54,0
25999,Management of companies & enterprises,55,0
25999,Administrative & support & waste management & remediation serv,56,0
25999,Educational services,61,0
25999,Health care & social assistance,62,0
26001,Retail Trade,44,305
26003,Manufacturing,31,801
26005,Manufacturing,31,15849
26007,Health care & social assistance,62,2499
26009,Manufacturing,31,1478
26011,Health care & social assistance,62,1343
26013,Manufacturing,31,602
26015,Manufacturing,31,3330
26017,Retail Trade,44,7013
26019,Accommodation & foodservices,72,928
26021,Manufacturing,31,15058
26023,Manufacturing,31,3565
26025,Manufacturing,31,14325
26027,Manufacturing,31,3423
26029,Manufacturing,31,3329
26031,Retail Trade,44,1422
26033,Retail Trade,44,1584
26035,Retail Trade,44,1564
26037,Manufacturing,31,2850
26039,Health care & social assistance,62,779
26041,Manufacturing,31,2840
26043,Construction,23,3466
26045,Retail Trade,44,6760
26047,Retail Trade,44,2511
26049,Retail Trade,44,25376
26051,Manufacturing,31,1280
26053,Accommodation & foodservices,72,1261
26055,Retail Trade,44,7797
26057,Health care & social assistance,62,3073
26059,Manufacturing,31,6834
26061,Health care & social assistance,62,2519
26063,Manufacturing,31,3859
26065,Retail Trade,44,18381
26067,Manufacturing,31,3452
26069,Manufacturing,31,1429
26071,Health care & social assistance,62,651
26073,Retail Trade,44,3572
26075,Manufacturing,31,11774
26077,Manufacturing,31,18782
26079,Manufacturing,31,1176
26081,Manufacturing,31,75888
26083,Retail Trade,44,16
26085,Retail Trade,44,256
26087,Manufacturing,31,6002
26089,Construction,23,811
26091,Manufacturing,31,8586
26093,Manufacturing,31,10991
26095,Retail Trade,44,458
26097,Accommodation & foodservices,72,689
26099,Manufacturing,31,83939
26101,Manufacturing,31,1137
26103,Health care & social assistance,62,5307
26105,Manufacturing,31,2552
26107,Retail Trade,44,2019
26109,Manufacturing,31,2936
26111,Health care & social assistance,62,5618
26113,Retail Trade,44,435
26115,Manufacturing,31,9349
26117,Manufacturing,31,6747
26119,Manufacturing,31,389
26121,Manufacturing,31,15757
26123,Manufacturing,31,1904
26125,Health care & social assistance,62,87901
26127,Manufacturing,31,1541
26129,Retail Trade,44,1294
26131,Retail Trade,44,354
26133,Manufacturing,31,3552
26135,Manufacturing,31,401
26137,Retail Trade,44,1990
26139,Manufacturing,31,40168
26141,Retail Trade,44,858
26143,Retail Trade,44,1590
26145,Manufacturing,31,19306
26147,Manufacturing,31,11770
26149,Manufacturing,31,9847
26151,Manufacturing,31,4030
26153,Retail Trade,44,488
26155,Manufacturing,31,3279
26157,Health care & social assistance,62,2655
26159,Manufacturing,31,4808
26161,Health care & social assistance,62,27705
26163,Manufacturing,31,118155
26165,Manufacturing,31,4378
26999,Administrative & support & waste management & remediation serv,56,21149
27001,Manufacturing,31,597
27003,Manufacturing,31,24781
27005,Retail Trade,44,2275
27007,Retail Trade,44,2807
27009,Manufacturing,31,2612
27011,Health care & social assistance,62,464
27013,Retail Trade,44,5897
27015,Manufacturing,31,3859
27017,Manufacturing,31,2070
27019,Manufacturing,31,9986
27021,Retail Trade,44,999
27023,Manufacturing,31,850
27025,Health care & social assistance,62,2915
27027,Retail Trade,44,2794
27029,Health care & social assistance,62,463
27031,Accommodation & foodservices,72,891
27033,Manufacturing,31,1189
27035,Retail Trade,44,4263
27037,Retail Trade,44,23799
27039,Manufacturing,31,1237
27041,Retail Trade,44,2942
27043,Manufacturing,31,1487
27045,Manufacturing,31,1191
27047,Manufacturing,31,3016
27049,Manufacturing,31,4903
27051,Health care & social assistance,62,305
27053,Manufacturing,31,99889
27055,Health care & social assistance,62,719
27057,Manufacturing,31,1092
27059,Health care & social assistance,62,1681
27061,Retail Trade,44,2667
27063,Manufacturing,31,948
27065,Health care & social assistance,62,710
27067,Health care & social assistance,62,4549
27069,Health care & social assistance,62,336
27071,Manufacturing,31,1262
27073,Health care & social assistance,62,504
27075,Accommodation & foodservices,72,594
27077,Accommodation & foodservices,72,268
27079,Manufacturing,31,2790
27081,Health care & social assistance,62,534
27083,Manufacturing,31,2094
27085,Manufacturing,31,6926
27087,Retail Trade,44,257
27089,Retail Trade,44,385
27091,Manufacturing,31,2489
27093,Manufacturing,31,1714
27095,Accommodation & foodservices,72,3730
27097,Manufacturing,31,1958
27099,Manufacturing,31,3238
27101,Health care & social assistance,62,434
27103,Manufacturing,31,5144
27105,Manufacturing,31,2378
27107,Health care & social assistance,62,440
27109,Health care & social assistance,62,29225
27111,Manufacturing,31,3848
27113,Manufacturing,31,1299
27115,Retail Trade,44,1096
27117,Manufacturing,31,728
27119,Health care & social assistance,62,1956
27121,Health care & social assistance,62,670
27123,Health care & social assistance,62,42113
27125,Manufacturing,31,365
27127,Manufacturing,31,1060
27129,Accommodation & foodservices,72,1165
27131,Manufacturing,31,5163
27133,Retail Trade,44,524
27135,Manufacturing,31,4244
27137,Health care & social assistance,62,18221
27139,Manufacturing,31,5304
27141,Manufacturing,31,3397
27143,Manufacturing,31,932
27145,Manufacturing,31,14138
27147,Manufacturing,31,6612
27149,Health care & social assistance,62,920
27151,Health care & social assistance,62,736
27153,Manufacturing,31,1657
27155,Manufacturing,31,68
27157,Manufacturing,31,1967
27159,Health care & social assistance,62,1821
27161,Manufacturing,31,2621
27163,Manufacturing,31,11578
27165,Manufacturing,31,1017
27167,Health care & social assistance,62,486
27169,Manufacturing,31,6615
27171,Manufacturing,31,4887
27173,Health care & social assistance,62,881
27999,Administrative & support & waste management & remediation serv,56,1996
28001,Retail Trade,44,2272
28003,Manufacturing,31,4686
28005,Manufacturing,31,677
28007,Construction,23,1301
28009,Health care & social assistance,62,153
28011,Manufacturing,31,2961
28013,Manufacturing,31,1417
28015,Construction,23,197
28017,Manufacturing,31,3659
28019,Manufacturing,31,439
28021,Manufacturing,31,467
28023,Manufacturing,31,1921
28025,Manufacturing,31,4157
28027,Health care & social assistance,62,1529
28029,Manufacturing,31,2333
28031,Manufacturing,31,1647
28033,Manufacturing,31,6162
28035,Health care & social assistance,62,7524
28037,Health care & social assistance,62,248
28039,Retail Trade,44,722
28041,Retail Trade,44,220
28043,Manufacturing,31,3783
28045,Retail Trade,44,1626
28047,Accommodation & foodservices,72,16753
28049,Health care & social assistance,62,22755
28051,Manufacturing,31,844
28053,Manufacturing,31,1200
28055,Transportation & Warehousing,48,41
28057,Construction,23,1094
28059,Manufacturing,31,13912
28061,Manufacturing,31,1414
28063,Health care & social assistance,62,206
28065,Health care & social assistance,62,329
28067,Manufacturing,31,7391
28069,Manufacturing,31,292
28071,Manufacturing,31,2017
28073,Retail Trade,44,2113
28075,Health care & social assistance,62,5617
28077,Retail Trade,44,311
28079,Manufacturing,31,3318
28081,Manufacturing,31,16377
28083,Manufacturing,31,3318
28085,Retail Trade,44,1632
28087,Manufacturing,31,5869
28089,Retail Trade,44,5655
28091,Manufacturing,31,1123
28093,Manufacturing,31,1357
28095,Manufacturing,31,3484
28097,Manufacturing,31,776
28099,Manufacturing,31,2187
28101,Manufacturing,31,1944
28103,Manufacturing,31,1022
28105,Retail Trade,44,2491
28107,Manufacturing,31,2336
28109,Retail Trade,44,2069
28111,Manufacturing,31,861
28113,Manufacturing,31,4047
28115,Manufacturing,31,6992
28117,Manufacturing,31,3948
28119,Retail Trade,44,269
28121,Manufacturing,31,6210
28123,Manufacturing,31,4611
28125,Retail Trade,44,165
28127,Health care & social assistance,62,1399
28129,Manufacturing,31,1671
28131,Manufacturing,31,687
28133,Manufacturing,31,1998
28135,Health care & social assistance,62,289
28137,Manufacturing,31,1427
28139,Manufacturing,31,3415
28141,Manufacturing,31,2403
28143,Accommodation & foodservices,72,12948
28145,Manufacturing,31,3939
28147,Manufacturing,31,651
28149,Manufacturing,31,5090
28151,Manufacturing,31,3914
28153,Manufacturing,31,1109
28155,Manufacturing,31,1216
28157,Health care & social assistance,62,309
28159,Manufacturing,31,1490
28161,Manufacturing,31,1175
28163,Manufacturing,31,1676
28999,Mining,21,1505
29001,Health care & social assistance,62,1760
29003,Retail Trade,44,976
29005,Health care & social assistance,62,461
29007,Manufacturing,31,2576
29009,Manufacturing,31,7073
29011,Retail Trade,44,635
29013,Retail Trade,44,586
29015,Retail Trade,44,712
29017,Retail Trade,44,332
29019,Health care & social assistance,62,13699
29021,Manufacturing,31,6222
29023,Health care & social assistance,62,3468
29025,Construction,23,187
29027,Health care & social assistance,62,2125
29029,Retail Trade,44,3186
29031,Health care & social assistance,62,7797
29033,Manufacturing,31,453
29035,Retail Trade,44,170
29037,Retail Trade,44,3225
29039,Health care & social assistance,62,629
29041,Retail Trade,44,285
29043,Manufacturing,31,2418
29045,Retail Trade,44,283
29047,Manufacturing,31,13800
29049,Retail Trade,44,882
29051,Health care & social assistance,62,5607
29053,Retail Trade,44,768
29055,Manufacturing,31,1595
29057,Wholesale trade,42,371
29059,Health care & social assistance,62,949
29061,Manufacturing,31,392
29063,Health care & social assistance,62,335
29065,Manufacturing,31,755
29067,Manufacturing,31,749
29069,Health care & social assistance,62,2070
29071,Manufacturing,31,9994
29073,Manufacturing,31,1771
29075,Health care & social assistance,62,496
29077,Health care & social assistance,62,22864
29079,Manufacturing,31,1243
29081,Retail Trade,44,699
29083,Manufacturing,31,1895
29085,Retail Trade,44,146
29087,Retail Trade,44,217
29089,Health care & social assistance,62,320
29091,Manufacturing,31,3880
29093,Health care & social assistance,62,463
29095,Health care & social assistance,62,46380
29097,Manufacturing,31,11524
29099,Retail Trade,44,6692
29101,Retail Trade,44,1787
29103,Retail Trade,44,118
29105,Manufacturing,31,5072
29107,Retail Trade,44,1631
29109,Manufacturing,31,1488
29111,Health care & social assistance,62,340
29113,Retail Trade,44,1445
29115,Manufacturing,31,1795
29117,Retail Trade,44,1019
29119,Manufacturing,31,2880
29121,Retail Trade,44,654
29123,Retail Trade,44,474
29125,Manufacturing,31,255
29127,Manufacturing,31,2931
29129,Retail Trade,44,88
29131,Manufacturing,31,1098
29133,Retail Trade,44,605
29135,Manufacturing,31,900
29137,Health care & social assistance,62,289
29139,Manufacturing,31,712
29141,Retail Trade,44,960
29143,Manufacturing,31,2485
29145,Manufacturing,31,4450
29147,Manufacturing,31,1995
29149,Retail Trade,44,449
29151,Manufacturing,31,973
29153,Retail Trade,44,362
29155,Health care & social assistance,62,1054
29157,Manufacturing,31,3008
29159,Manufacturing,31,5514
29161,Health care & social assistance,62,2909
29163,Manufacturing,31,746
29165,Transportation & Warehousing,48,6209
29167,Health care & social assistance,62,1726
29169,Retail Trade,44,1306
29171,Retail Trade,44,124
29173,Manufacturing,31,1214
29175,Manufacturing,31,1463
29177,Retail Trade,44,753
29179,Manufacturing,31,375
29181,Health care & social assistance,62,563
29183,Retail Trade,44,15319
29185,Health care & social assistance,62,583
29186,Manufacturing,31,1660
29187,Health care & social assistance,62,4766
29189,Retail Trade,44,74170
29195,Manufacturing,31,2472
29197,Retail Trade,44,140
29199,Health care & social assistance,62,175
29201,Health care & social assistance,62,2655
29203,Manufacturing,31,550
29205,Manufacturing,31,378
29207,Manufacturing,31,2246
29209,Construction,23,1004
29211,Health care & social assistance,62,208
29213,Accommodation & foodservices,72,4970
29215,Manufacturing,31,1052
29217,Manufacturing,31,1364
29219,Manufacturing,31,1952
29221,Manufacturing,31,740
29223,Manufacturing,31,562
29225,Manufacturing,31,1221
29227,Accommodation & foodservices,72,31
29229,Retail Trade,44,937
29510,Health care & social assistance,62,36099
29999,Administrative & support & waste management & remediation serv,56,529
30001,Retail Trade,44,470
30003,Health care & social assistance,62,453
30005,Health care & social assistance,62,329
30007,Manufacturing,31,221
30009,Accommodation & foodservices,72,442
30011,Retail Trade,44,19
30013,Health care & social assistance,62,5594
30015,Health care & social assistance,62,211
30017,Health care & social assistance,62,1104
30019,Retail Trade,44,109
30021,Health care & social assistance,62,622
30023,Health care & social assistance,62,924
30025,Retail Trade,44,139
30027,Health care & social assistance,62,746
30029,Retail Trade,44,4843
30031,Accommodation & foodservices,72,5514
30033,Retail Trade,44,42
30035,Health care & social assistance,62,454
30037,Accommodation & foodservices,72,20
30039,Retail Trade,44,75
30041,Health care & social assistance,62,1135
30043,Health care & social assistance,62,192
30043,Accommodation & foodservices,72,192
30045,Wholesale trade,42,22
30047,Health care & social assistance,62,1069
30049,Health care & social assistance,62,4048
30051,Retail Trade,44,56
30053,Manufacturing,31,653
30055,Retail Trade,44,47
30057,Construction,23,168
30059,Health care & social assistance,62,80
30061,Retail Trade,44,197
30063,Retail Trade,44,7785
30065,Health care & social assistance,62,158
30067,Accommodation & foodservices,72,860
30069,Retail Trade,44,3
30071,Health care & social assistance,62,204
30073,Retail Trade,44,293
30075,Retail Trade,44,75
30077,Health care & social assistance,62,287
30079,Wholesale trade,42,39
30081,Retail Trade,44,1366
30083,Health care & social assistance,62,535
30085,Retail Trade,44,460
30087,Retail Trade,44,321
30089,Health care & social assistance,62,306
30091,Health care & social assistance,62,256
30093,Health care & social assistance,62,2479
30095,Manufacturing,31,314
30097,Retail Trade,44,188
30099,Health care & social assistance,62,239
30101,Retail Trade,44,261
30103,Retail Trade,44,27
30105,Health care & social assistance,62,455
30107,Retail Trade,44,77
30109,Accommodation & foodservices,72,25
30111,Retail Trade,44,9922
30999,Mining,21,669
31001,Manufacturing,31,3433
31003,Retail Trade,44,352
31005,Retail Trade,44,9
31007,Construction,23,0
31007,Wholesale trade,42,0
31007,Transportation & Warehousing,48,0
31007,Finance & insurance,52,0
31007,Other services (except public administration),81,0
31009,Wholesale trade,42,6
31011,Health care & social assistance,62,388
31013,Retail Trade,44,688
31015,Health care & social assistance,62,118
31017,Retail Trade,44,237
31019,Manufacturing,31,4112
31021,Retail Trade,44,255
31023,Manufacturing,31,497
31025,Retail Trade,44,663
31027,Retail Trade,44,331
31029,Retail Trade,44,230
31031,Retail Trade,44,453
31033,Retail Trade,44,1629
31035,Retail Trade,44,227
31037,Retail Trade,44,428
31039,Manufacturing,31,837
31041,Health care & social assistance,62,647
31043,Manufacturing,31,5360
31045,Retail Trade,44,615
31047,Manufacturing,31,4259
31049,Retail Trade,44,205
31051,Health care & social assistance,62,237
31053,Manufacturing,31,3378
31055,Health care & social assistance,62,37558
31057,Health care & social assistance,62,189
31059,Health care & social assistance,62,347
31061,Health care & social assistance,62,199
31063,Health care & social assistance,62,90
31065,Health care & social assistance,62,348
31067,Manufacturing,31,1889
31069,Retail Trade,44,87
31071,Retail Trade,44,141
31073,Other services (except public administration),81,45
31075,Other services (except public administration),81,8
31077,Retail Trade,44,123
31079,Manufacturing,31,6384
31081,Manufacturing,31,687
31083,Health care & social assistance,62,151
31085,Other services (except public administration),81,5
31087,Retail Trade,44,88
31089,Retail Trade,44,731
31091,Health care & social assistance,62,60
31093,Retail Trade,44,219
31095,Manufacturing,31,597
31097,Retail Trade,44,189
31099,Health care & social assistance,62,446
31101,Retail Trade,44,665
31103,Retail Trade,44,15
31105,Accommodation & foodservices,72,299
31107,Retail Trade,44,435
31109,Health care & social assistance,62,18868
31111,Retail Trade,44,2914
31113,Retail Trade,44,20
31115,Retail Trade,44,1
31117,Construction,23,0
31117,Wholesale trade,42,0
31117,Retail Trade,44,0
31117,Finance & insurance,52,0
31117,Accommodation & foodservices,72,0
31117,Other services (except public administration),81,0
31119,Manufacturing,31,5628
31121,Retail Trade,44,377
31123,Retail Trade,44,151
31125,Health care & social assistance,62,113
31127,Health care & social assistance,62,355
31129,Health care & social assistance,62,385
31131,Manufacturing,31,1390
31133,Health care & social assistance,62,122
31135,Health care & social assistance,62,188
31137,Manufacturing,31,926
31139,Retail Trade,44,367
31141,Manufacturing,31,5622
31143,Wholesale trade,42,406
31145,Retail Trade,44,1091
31147,Health care & social assistance,62,433
31149,Retail Trade,44,71
31151,Manufacturing,31,2736
31153,Retail Trade,44,5339
31155,Retail Trade,44,594
31157,Retail Trade,44,2565
31159,Manufacturing,31,1041
31161,Retail Trade,44,339
31163,Retail Trade,44,109
31165,Retail Trade,44,18
31167,Administrative & support & waste management & remediation serv,56,87
31169,Health care & social assistance,62,412
31171,Construction,23,63
31173,Health care & social assistance,62,387
31175,Health care & social assistance,62,304
31177,Manufacturing,31,1019
31179,Manufacturing,31,1676
31181,Health care & social assistance,62,180
31183,Retail Trade,44,18
31185,Manufacturing,31,1210
31999,Mining,21,175
32001,Retail Trade,44,1040
32003,Accommodation & foodservices,72,210664
32005,Accommodation & foodservices,72,7945
32007,Accommodation & foodservices,72,5870
32009,Accommodation & foodservices,72,14
32011,Mining,21,2110
32013,Mining,21,1355
32015,Retail Trade,44,205
32017,Retail Trade,44,179
32019,Retail Trade,44,1558
32021,Health care & social assistance,62,211
32023,Accommodation & foodservices,72,1032
32027,Mining,21,569
32029,Accommodation & foodservices,72,87
32031,Accommodation & foodservices,72,36357
32033,Health care & social assistance,62,363
32510,Manufacturing,31,4236
32999,Mining,21,605
33001,Retail Trade,44,4702
33003,Accommodation & foodservices,72,4479
33005,Manufacturing,31,6190
33007,Health care & social assistance,62,2212
33009,Educational services,61,10306
33011,Manufacturing,31,37319
33013,Health care & social assistance,62,9477
33015,Retail Trade,44,25241
33017,Manufacturing,31,6927
33019,Manufacturing,31,3975
33999,Administrative & support & waste management & remediation serv,56,0
34001,Accommodation & foodservices,72,50216
34003,Retail Trade,44,53043
34005,Retail Trade,44,24108
34007,Health care & social assistance,62,30677
34009,Retail Trade,44,5452
34011,Manufacturing,31,10778
34013,Health care & social assistance,62,52807
34015,Retail Trade,44,14068
34017,Finance & insurance,52,30754
34019,Construction,23,6627
34021,Health care & social assistance,62,23280
34023,"Professional, scientific, & technical services",54,50929
34025,Retail Trade,44,36923
34027,"Professional, scientific, & technical services",54,34299
34029,Health care & social assistance,62,24961
34031,Manufacturing,31,29743
