cty,industry,industry_naics_code,industry_employment
1017,"Agriculture, forestry, fishing, & hunting",11,167
1017,Utilities,22,99
1017,Construction,23,503
1017,Manufacturing,31,4653
1017,Wholesale trade,42,261
1017,Retail Trade,44,1474
1017,Transportation & Warehousing,48,155
1017,Information,51,162
1017,Finance & insurance,52,187
1017,Real estate & rental & leasing,53,77
1017,"Professional, scientific, & technical services",54,118
1017,Management of companies & enterprises,55,0
1017,Administrative & support & waste management & remediation serv,56,229
1017,Educational services,61,0
1017,Health care & social assistance,62,1232
1017,"Arts, entertainment, & recreation",71,63
1017,Accommodation & foodservices,72,646
1017,Other services (except public administration),81,402
1017,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1017,Unclassified,99,2
1019,"Agriculture, forestry, fishing, & hunting",11,50
1019,Utilities,22,0
1019,Construction,23,112
1019,Manufacturing,31,1028
1019,Wholesale trade,42,154
1019,Retail Trade,44,718
1019,Transportation & Warehousing,48,79
1019,Information,51,0
1019,Finance & insurance,52,146
1019,Real estate & rental & leasing,53,53
1019,"Professional, scientific, & technical services",54,0
1019,Administrative & support & waste management & remediation serv,56,25
1019,Health care & social assistance,62,233
1019,"Arts, entertainment, & recreation",71,0
1019,Accommodation & foodservices,72,318
1019,Other services (except public administration),81,200
1019,Unclassified,99,0
1021,"Agriculture, forestry, fishing, & hunting",11,201
1021,Mining,21,0
1021,Utilities,22,0
1021,Construction,23,583
1021,Manufacturing,31,1346
1021,Wholesale trade,42,285
1021,Retail Trade,44,1723
1021,Transportation & Warehousing,48,259
1021,Information,51,0
1021,Finance & insurance,52,268
1021,Real estate & rental & leasing,53,57
1021,"Professional, scientific, & technical services",54,97
1021,Management of companies & enterprises,55,0
1021,Administrative & support & waste management & remediation serv,56,49
1021,Health care & social assistance,62,719
1021,"Arts, entertainment, & recreation",71,0
1021,Accommodation & foodservices,72,668
1021,Other services (except public administration),81,440
1021,Unclassified,99,3
1023,"Agriculture, forestry, fishing, & hunting",11,221
1023,Mining,21,0
1023,Utilities,22,0
1023,Construction,23,104
1023,Manufacturing,31,0
