cz,czname,pop2000,fips,stateabbrv,statename,Region,taxrate,tax_st_diff_top20,le_agg_q1,le_agg_q2,le_agg_q3,le_agg_q4,sd_le_agg_q1,sd_le_agg_q2,sd_le_agg_q3,sd_le_agg_q4,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,cs_educ_ba,tuition,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc
8602,Brunswick,93044,13,GA,Georgia,South,0.0272389,0,77.38771705584797,80.6884945795955,83.2121195170077,85.6795124723361,0.5469479837049249,0.684385846456046,0.7532617099480124,0.8678452127526113,0.3035714,0.1980198,0.1607143,0.1549296,0.3584906,0.2755102,0.2321429,0.25,0.56547618,0.78921568,0.82300884,0.86713284,23.1396,8877.3335,1.394966,0.1514326,0.1099417,0.1574019,-0.2459777,70.974707,84.154284,62.908998,80.983107,68.184402,66.018675,0.07637,0.0631366,0.0928419,0.2114739,0.41204,0.1563526,0.12297,0.46459,-1.6553397999999997,46.33077,23.92524,2.439706,0.0384681,0.2971782,0.3832653,0.6297429,0.10401750000000001,2.671031,0.0152615967,0.0159709385,71.56031,0.3475596,36807.36,141874.7941,5.7766325,16.376818,-8.216123999999999,19.55225,1280,36.181,0.2682216,0.008856,2469.194
8701,Hinesville,131279,13,GA,Georgia,South,0.0219816,0,77.84516538636171,80.18386076462973,82.83945914248913,83.8645093338298,0.5466495152602315,0.7027068142568683,0.8009121883208707,1.085236610550565,0.3241758,0.3173077,0.2465753,0.2241379,0.3735632,0.2572815,0.2394366,0.2321429,0.64640886,0.7703349,0.78378379,0.67241377,21.78737,9870.0838,0.9234958,0.1654904,0.1009486,0.1406057,-0.8974667,82.084342,83.154031,59.96039,78.190397,56.528482,102.02072,0.0196923,0.0248887,0.018123800000000002,0.0762284,0.30091,0.1806514,0.07735,0.55455,-3.1989926,35.52358,33.67942,7.170225,0.0468866,0.4681332,0.4816485,0.6180904,0.126966,4.768776,0.037028009,0.05247602430000001,58.7839,0.41252,23377.989999999998,99073.94247,5.187929,16.980795,-3.211442,11.669240000000002,864,37.0335,0.2305901,0.008501,1453.888
8702,Statesboro,111346,13,GA,Georgia,South,0.0190057,0,78.79846994424668,81.06249042520571,83.69312885080711,85.90217581607104,0.4851752169157777,0.7368737206321251,0.8944578200349493,1.139760179209354,0.2198953,0.2071429,0.1857143,0.1149425,0.3157895,0.2391304,0.2285714,0.2941177,0.64583331,0.74285716,0.77464789,0.86206895,24.05663,9679.1745,1.175686,0.1742267,0.1046719,0.1384932,-0.5152733,80.136761,84.377063,64.83167,78.893627,61.091595,98.357127,0.0434177,0.051332,0.0356335,0.0553738,0.40164,0.2489121,0.09041,0.41928,-2.2435024,40.35439,32.50139,2.79579,0.0506792,0.2801039,0.4072965,0.58571,0.1816517,2.948533,0.0163364647,0.0141091732,42.61258000000001,0.3980028,26438.809999999998,98951.06749,5.2703247,16.161556,-0.4863537,17.86891,1728.4700000000003,36.17225,0.2791693,0.0092067,2079.772
8800,Savannah,434615,13,GA,Georgia,South,0.0281454,0,78.47982362630917,81.73088259370863,83.88125620753006,86.72592124094373,0.2815045549361362,0.34387609778946593,0.36735909573874076,0.329897968314538,0.2521815,0.2125883,0.1708931,0.1126302,0.303139,0.2143327,0.1959459,0.13612219999999997,0.62171948,0.76897472,0.85617214,0.90561056,21.41943,8871.7113,-0.39014230000000005,0.1503632,0.0991805,0.1129172,0.9136305000000001,81.774241,85.867671,70.992395,84.516848,73.960042,53.864837,0.0987008,0.0952009,0.1030195,0.243207,0.40699,0.1371672,0.14606,0.471,-1.7031987,40.69671,32.46413,3.634711,0.0358574,0.3992936,0.4962615,0.6284901,0.1032721,4.386657,0.0331488789,0.0294559553,167.0173,0.2966344,39851.36,173315.6142,5.8098853,16.595901,-9.082143,25.21457,6982.14,36.08325,0.2689354,0.0086007,2223.651
8900,Macon,386870,13,GA,Georgia,South,0.019706,0,77.3057391322512,80.55889188163262,83.46745704735868,85.91788114017348,0.2920298443918376,0.36837364881757373,0.37609198781748465,0.4350686875352118,0.2705314,0.2323232,0.2197802,0.1578947,0.3125,0.2432432,0.2434457,0.2321429,0.5808081,0.67299581,0.80223882,0.87172014,19.15586,10147.025,0.14775130000000003,0.1603858,0.0959526,0.1250167,-0.1474725,82.721377,81.455935,66.539773,79.832917,66.656631,85.055244,0.0906247,0.0981889,0.08523059999999999,0.1934302,0.3771,0.1541764,0.12343,0.46517,-1.0702973,44.34849,36.00176,2.0128210000000006,0.0406179,0.1982667,0.2616,0.6217625,0.1339984,2.254344,0.015555613,0.0144854861,125.0104,0.2939857,33835.64,113470.7146,5.7039279,17.34601,-6.07367,18.30533,4954.09,35.4545,0.301501,0.0086329,2499.876
9001,Vidalia,108438,13,GA,Georgia,South,0.0221066,0,78.46267106590189,81.01083384212956,83.85068046862533,85.79532636988918,0.4575493442390436,0.7145989574672947,0.8728039646650002,1.0972913698986069,0.2893401,0.1965812,0.1147541,0.1617647,0.3523316,0.3245614,0.2166667,0.358209,0.54545456,0.69230771,0.77049178,0.79411763,23.75084,10419.276,1.20194,0.1832232,0.1051304,0.132194,-1.1183900000000002,80.660796,82.846448,57.208446,80.194386,57.02223,117.61134,0.009524699999999997,0.010170099999999994,0.009406400000000002,0.0798559,0.38759,0.2098809,0.09534,0.42877,-1.6489336,58.76168,26.02962,4.41266,0.0683557,0.1262424,0.1914117,0.5587672,0.1938007,3.320234,0.006224755200000001,0.0088068758,37.474850000000004,0.3906454,26103.74,79533.72761,5.25605,16.258153,-1.667007,10.426680000000001,3684.38,38.273,0.2493361,0.0087608,1836.796
9002,Milledgeville,83808,13,GA,Georgia,South,0.0252586,0,77.59801127799574,80.13688802988183,83.46278250583856,85.35917053652697,0.6221386038822012,0.7158435548184381,0.8657714443561813,0.9629924775531151,0.2105263,0.11111110000000002,0.3076923,0.04761899999999998,0.2631579,0.2592593,0.3333333,0.3,0.47368422,0.81481481,0.76923078,0.90476191,21.24763,9306.4321,0.4667576,0.183249,0.0859174,0.1270265,-0.1017213,78.31406,84.741494,62.113029,83.558603,66.809383,80.012406,0.0339348,0.0372753,0.032086,0.1219871,0.36685,0.1785666,0.0755,0.44768,-1.9085844,27.65011,44.02920999999999,1.3948549999999997,0.0474294,0.293034,0.3150993,0.5234662,0.1811922,1.7560960000000003,0.0123735204,0.0147360634,55.03489999999999,0.359574,27862.41,107476.7313,5.5262824,16.829755,-6.813944,14.22167,3161.26,33.139,0.3327358,0.0080564,2058.748
9003,Dublin,74610,13,GA,Georgia,South,0.0207221,0,78.2366783998799,80.6442862205312,83.65918346459422,85.0078755117142,0.6118737635499458,0.7962213466841463,0.8834234008562731,1.3784605112319879,0.2876405,0.23100299999999999,0.1292517,0.1184211,0.3551402,0.2825397,0.2465753,0.2094595,0.552809,0.67272729,0.7972973,0.80921054,19.60065,9104.1631,0.5813605,0.1722676,0.0863666,0.1383212,-0.2397334,83.199897000000007,86.460392,55.077704,78.381067,65.393438,66.905254,0.0397581,0.039532,0.0380176,0.1116823,0.39176,0.2013951,0.13755,0.44242,-1.1503262,50.13269,39.91556,0.9931644000000004,0.0472153,0.1568877,0.1850134,0.5690293,0.1985599,0.9755965000000004,0.011526605,0.0098780324,41.52214000000001,0.3425329,29574.87,92339.504319999993,6.1417926,16.465208,-2.795904,12.53587,16895.4,34.9255,0.3181966,0.0164742,1910.928
9100,Atlanta,3798017,13,GA,Georgia,South,0.027579,0,79.21558446462866,82.11639000125895,84.07279100461211,86.43398080883837,0.11496838908960427,0.12645454271067846,0.1379145430751837,0.12962480889529648,0.2491057,0.1950417,0.1670785,0.1110682,0.2816189,0.229176,0.2053486,0.1763892,0.61156464,0.73599064,0.79411763,0.86811024,22.09986,9238.8794,0.2841242,0.1597947,0.0999207,0.1260423,0.05593799999999999,78.710449,85.899976,61.869038,82.562196,64.703348,59.069975,0.1125313,0.10110540000000001,0.1252,0.3165451,0.3953,0.0929291,0.17257,0.4393,-1.2080198,44.27466,29.67886,6.83562,0.0353966,0.8512499,0.9936224000000001,0.7091578,0.1041841,10.883319999999998,0.029834253,0.0230388648,717.4467,0.1775279,44161.72,191244.6056,6.3516535,18.064445,-7.862574,33.28309999999999,6875.74,35.96825,0.2298234,0.0082179,2884.702
9200,Griffin,135136,13,GA,Georgia,South,0.019729,0,77.23788776983412,80.72845274331574,82.81381085192469,85.28871577542257,0.43581897516699114,0.5373667557042069,0.6092756276562813,0.8453592806765784,0.1956522,0.030302999999999997,0.1428571,0.2105263,0.2444444,0.3428572,0.2380952,0.4736842,0.5869565,0.74285716,0.80952382,0.89473683,21.30066,9591.8847,2.08468,0.2108367,0.1087529,0.1356001,-0.8089448,81.678703,81.163619,58.96547,75.905891,56.50051,70.712156,0.0390527,0.0388549,0.0387173,0.1317338,0.34117,0.1367634,0.10339,0.50872,-1.4599294,53.29446,28.2508,1.3985909999999997,0.0527297,0.2430414,0.2901072,0.6005229,0.2338361,1.7000440000000001,0.0256778357,0.0194840753,121.3896,0.3152446,30887.58,110785.0282,4.8301484,17.605106,-6.8339,11.743020000000001,1147.73,36.1525,0.2666952,0.0088577,1694.759
